"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3106435,"December 31, 2024",Alabama,Tuscaloosa,"2400 block of Joyce Lewis Ln",1,0,0,0,1,N/A
3105537,"December 31, 2024",Mississippi,"Crystal Springs","Beverly Cir",1,0,0,0,1,N/A
3105944,"December 31, 2024",Georgia,Atlanta,"1634 Hollywood Rd NW",0,0,1,0,0,N/A
3106039,"December 31, 2024",Georgia,Decatur,"3893 Kensington Rd",2,0,0,0,0,N/A
3106127,"December 31, 2024",Tennessee,Chattanooga,"7326 McCutcheon Rd",0,0,1,0,0,N/A
3106286,"December 31, 2024",Kentucky,Louisville,"1600 block of S 13th St",1,0,0,0,1,N/A
3106875,"December 31, 2024",California,Stockton,"E March Ln and Holiday Dr",1,0,0,0,0,N/A
3106283,"December 31, 2024",Pennsylvania,Philadelphia,"5549 Germantown Ave",0,0,1,0,0,N/A
3106133,"December 31, 2024",Tennessee,Memphis,"3700 block of Maple Leaf Cove",1,0,0,0,0,N/A
3107014,"December 31, 2024",Oregon,Portland,"8247 NE Sandy Blvd",1,0,0,0,0,N/A
3106276,"December 31, 2024",Illinois,Lewistown,"518 S Main St",1,0,0,0,1,N/A
3110848,"December 31, 2024",Washington,"Puyallup (South Hill)","18919  Eastwood Ave E",1,0,1,0,0,N/A
3109768,"December 31, 2024",Indiana,Francisco,"7027 IN-64",2,0,0,0,1,N/A
3105908,"December 31, 2024",Ohio,Celina,"303 S Main St",0,0,1,0,0,N/A
3106303,"December 31, 2024",Mississippi,Lauderdale,"4600 block of York Rd",1,0,0,0,1,N/A
3106215,"December 31, 2024",Maryland,"Hyattsville (Landover)","7545 Landover Rd",1,1,0,0,0,N/A
3106541,"December 31, 2024",California,"Los Angeles","636 Maple Ave",1,0,0,0,0,N/A
3105910,"December 31, 2024",Florida,Miami,"NW 10th Ave and NW 47th St",1,0,0,0,0,N/A
3106715,"December 31, 2024",California,Oakland,"200 block of Second St",1,3,0,0,0,N/A
3252756,"December 31, 2024",Arkansas,"North Little Rock",N/A,1,0,0,0,1,N/A
3107500,"December 31, 2024",California,Vallejo,"100 block of Kemper St",1,0,0,0,0,N/A
3105873,"December 31, 2024",Florida,Jacksonville,"3400 block of Division St",1,0,0,0,0,N/A
3106687,"December 31, 2024",Florida,Chiefland,"Manatee Springs Rd",1,0,0,0,1,N/A
3106684,"December 31, 2024",Louisiana,"Baton Rouge","8500 block of Greenwell Springs Rd",1,1,0,0,0,N/A
3107076,"December 31, 2024",Mississippi,Natchez,"Finger Ln and Lower Woodville Rd",1,5,0,0,1,N/A
3106358,"December 31, 2024","New Mexico",Albuquerque,"8500 Old Cottonwood Ave SW",1,0,0,0,2,N/A
3106690,"December 31, 2024",Louisiana,"Baton Rouge","2000 block of ONeal Ln",1,0,0,0,1,N/A
3107055,"December 31, 2024","South Carolina",Columbia,"3245 Lucius Rd",1,1,0,0,1,N/A
3107137,"December 31, 2024",Missouri,Kennett,"1915 Lynndale St",1,0,0,0,1,N/A
3107395,"December 31, 2024","South Carolina",Conway,"Hayloft Cir",1,0,0,0,1,N/A
3110046,"December 31, 2024",Texas,"Fort Worth","Berrenda Dr and Tudanca Trl",1,2,0,0,0,N/A
3107454,"December 31, 2024",Mississippi,Pickens,"5073 MS-17",2,1,0,0,4,N/A
3107607,"December 31, 2024",Louisiana,"New Orleans","4656 Alcee Fortier Blvd",1,0,0,0,3,N/A
3107319,"December 31, 2024",Arizona,Phoenix,"15430 N 25th St",1,0,0,0,1,N/A
3107000,"December 31, 2024",Washington,Lynnwood,"19618 68th Ave W",1,1,0,0,0,N/A
3107118,"December 31, 2024",Ohio,"Maple Heights","5514 Dunham Rd",1,0,0,0,0,N/A
3105819,"December 31, 2024",California,Oakland,"1350 14th St",1,0,0,0,1,N/A
3106250,"December 31, 2024",Illinois,Chicago,"11000 block of S State St",1,0,0,0,1,N/A
3106937,"December 31, 2024",Kentucky,Louisville,"1120 S 36th St",1,0,0,0,0,N/A
3106981,"December 31, 2024",Pennsylvania,"Beaver Falls","113 Gill Dr",1,0,1,0,0,N/A
3106239,"December 31, 2024",Washington,Seattle,"1500 Broadway",1,0,0,0,1,N/A
3106312,"December 31, 2024",Connecticut,Fairfield,"1401 Sasco Hill Rd",1,0,0,0,0,N/A
3105244,"December 30, 2024",Delaware,Wilmington,"2300 block of N Carter St",1,1,0,0,0,N/A
3104906,"December 30, 2024",Virginia,"Virginia Beach","5444 Virginia Beach Blvd",1,0,0,0,1,N/A
3115836,"December 30, 2024",Wisconsin,Keystone,N/A,1,0,0,0,1,N/A
3106257,"December 30, 2024",Pennsylvania,Philadelphia,"700 block of Willard St",1,0,0,0,0,N/A
3105695,"December 30, 2024","New Hampshire",Somersworth,"97 High St",1,1,0,0,0,N/A
3105977,"December 30, 2024",Georgia,Springfield,"700 N Pine St",1,0,0,0,0,N/A
3106266,"December 30, 2024",Kentucky,Louisville,"3700 block of Downing Way",1,0,0,0,0,N/A
3110699,"December 30, 2024",Georgia,"Dekalb County (county)",N/A,1,0,0,0,0,N/A
3105298,"December 30, 2024",Wisconsin,Milwaukee,"4108 N 27th St",1,0,0,0,1,N/A
3105809,"December 30, 2024",Texas,Harlingen,"23850 Stuart Place Rd",1,0,0,0,1,N/A
3105568,"December 30, 2024",Texas,"Fort Worth","10305 North Fwy",1,0,0,0,0,N/A
3105284,"December 30, 2024",Ohio,"West Milton","5600 block of Monroe-Concord Rd",1,0,0,0,1,N/A
3105723,"December 30, 2024",Texas,"San Antonio","6170 I-10",1,0,0,0,0,N/A
3105174,"December 30, 2024",Indiana,Indianapolis,"6500 block of E 30th St",0,0,1,0,0,N/A
3105942,"December 30, 2024",Georgia,Valdosta,"700 block of Stillwater Dr",1,0,0,0,1,N/A
3105594,"December 30, 2024",Texas,Dallas,"7300 block of Skillman St",1,0,0,0,0,N/A
3104875,"December 30, 2024",Iowa,"Iowa City","600 block of S Dodge St",1,0,0,0,0,N/A
3105672,"December 30, 2024",Utah,"Clearfield (West Point)","650 N 2300 W",0,0,1,0,0,N/A
3104977,"December 30, 2024",Pennsylvania,Philadelphia,"2700 block of Emerald St",1,0,0,0,0,N/A
3106822,"December 30, 2024",Georgia,Marietta,"1250 Bellemeade Dr",1,0,0,0,1,N/A
3105915,"December 30, 2024",Florida,Orlando,"2818 Shining Willow Terrace",0,0,1,0,0,N/A
3105825,"December 30, 2024",California,Oakland,"4300 block of Fleming Ave",1,0,0,0,1,N/A
3105474,"December 30, 2024",Wisconsin,"New Lisbon","322 W Bridge St",3,0,0,0,1,N/A
3105415,"December 30, 2024","North Carolina",Charlotte,"8200 block of Dave McKinney Ave",1,0,0,0,2,N/A
3105892,"December 30, 2024",Florida,Jacksonville,"1247 8th St W",0,0,1,0,0,N/A
3105845,"December 30, 2024",Washington,Spanaway,"165th St E",1,0,0,0,1,N/A
3106671,"December 30, 2024",Florida,"Boca Raton","2901 N Federal Hwy",1,0,0,0,0,N/A
3105875,"December 30, 2024","North Carolina",Whiteville,"100 block of Country Club Rd",0,0,1,0,0,N/A
3105758,"December 30, 2024",Maryland,"Owings Mills","300 block of Garrison Forest Rd",1,0,0,0,0,N/A
3108269,"December 30, 2024","New Jersey",Paterson,"Mercer St and Franklin St",1,0,0,0,0,N/A
3105688,"December 30, 2024",Massachusetts,Lowell,"Middlesex St and Maude St",1,0,0,0,1,N/A
3108261,"December 30, 2024","New Jersey",Williamstown,"1941 N Black Horse Pike",1,0,0,0,0,N/A
3107979,"December 30, 2024",Alabama,"Fort Deposit","206 Edgewood Dr",1,0,0,0,2,N/A
3105107,"December 30, 2024","District of Columbia",Washington,"1800 block of Benning Rd NE",1,0,0,0,1,N/A
3105210,"December 30, 2024",Indiana,Indianapolis,"4200 block of El Lago Blvd",1,0,0,0,0,N/A
3105277,"December 30, 2024",Maryland,Baltimore,"1201 E Cold Spring Ln",1,0,0,0,0,N/A
3104644,"December 30, 2024",Illinois,Chicago,"1659 W Cullerton St",1,2,0,0,0,N/A
3105715,"December 30, 2024",Texas,"San Antonio","300 block of Adaes Ave",1,0,0,0,0,N/A
3105435,"December 30, 2024",Alabama,Tuscaloosa,"3001 20th St",1,0,0,0,1,N/A
3105842,"December 30, 2024",California,Sacramento,"9351 Wild Lilac Cir",0,0,1,0,0,N/A
3105582,"December 30, 2024",Texas,Dallas,"Dallas Pkwy and Trinity Mills Rd",1,0,0,0,1,N/A
3109943,"December 30, 2024",Alaska,Anchorage,"3200 block of Eastgate Pl",1,0,0,0,0,N/A
3111292,"December 30, 2024",Pennsylvania,"Beaver Falls","234 11th St",1,0,0,0,0,N/A
3105235,"December 30, 2024",Tennessee,Memphis,"3600 block of Metropolitan Cove",1,0,0,0,0,N/A
3132323,"December 30, 2024",Idaho,Pocatello,US-30,0,0,1,0,0,N/A
3104531,"December 29, 2024",Texas,Dallas,"5100 block of Langdon Rd",1,0,0,0,0,N/A
3104311,"December 29, 2024","North Carolina",Charlotte,"3200 block of Nobles Ave",1,0,0,0,1,N/A
3105003,"December 29, 2024",Washington,Spokane,"840 W Cora Ave",0,0,1,0,0,N/A
3107703,"December 29, 2024",Texas,Baytown,"3400 block of Shady Hill Dr",1,0,0,0,1,N/A
3139928,"December 29, 2024","New York",Peru,"646 Fuller Rd",1,0,0,0,1,N/A
3105366,"December 29, 2024","North Carolina",Hillsborough,"202 Cardinal Dr",2,0,0,0,1,N/A
3104888,"December 29, 2024",Michigan,Lansing,"4900 block of Belle Chase Blvd",0,1,1,0,0,N/A
3104728,"December 29, 2024",Missouri,"Saint Louis","700 block of Carr St",1,0,0,0,1,N/A
3105141,"December 29, 2024",Georgia,Atlanta,"2693 Washington St NW",1,0,0,0,0,N/A
3105172,"December 29, 2024",Washington,Clarkston,"600 block of 13th St",1,0,0,0,0,N/A
3104327,"December 29, 2024","North Carolina","Winston Salem (Winston-salem)","454 E Monmouth St",1,0,0,1,1,N/A
3104379,"December 29, 2024","South Carolina",Columbia,"3100 block of Truman St",1,1,0,0,1,N/A
3114910,"December 29, 2024","New Mexico",Chimayo,N/A,1,0,0,0,1,N/A
3104999,"December 29, 2024",Texas,Humble,"7800 block of N Sam Houston Tollway",1,0,0,0,0,N/A
3104980,"December 29, 2024",Texas,Houston,"3347 Persimmon St",1,0,0,0,0,N/A
3104569,"December 29, 2024",California,"Rowland Heights","18308 Colima Rd",1,0,0,0,0,N/A
3105348,"December 29, 2024","North Carolina",Midland,"10300 block of Old Camden Rd",0,0,1,0,0,N/A
3104585,"December 29, 2024",California,Lakewood,"20626 Alburtis Ave",1,2,0,0,0,N/A
3104700,"December 29, 2024",Nevada,"Las Vegas","S Jones Blvd and W Charleston Blvd",1,0,0,0,0,N/A
3104958,"December 29, 2024","North Carolina",Charlotte,"7801 University City Blvd",1,2,0,0,0,N/A
3105242,"December 29, 2024",Ohio,Cleveland,"5115 Broadway Ave",1,0,0,0,1,N/A
3105323,"December 29, 2024","North Carolina","Hope Mills","5608 Islandview Dr",1,0,0,0,1,N/A
3104871,"December 29, 2024",Nevada,"North Las Vegas","2900 block of E Centennial Pkwy",1,0,0,0,1,N/A
3104638,"December 29, 2024",Texas,Dallas,"11800 block of Woodbridge Dr",1,1,0,0,1,N/A
3108252,"December 29, 2024",Colorado,"Commerce City","E 62nd Ave and Jasmine Ct",1,0,0,0,1,N/A
3104517,"December 29, 2024","North Dakota",Belcourt,"Hwy 281 and Sky Dancer Way NE",0,0,1,0,0,N/A
3105165,"December 29, 2024",Texas,Houston,"TX-8 and N Gessner Rd",1,0,0,0,0,N/A
3104688,"December 29, 2024",California,"Woodland Hills","21706 Ventura Blvd",0,0,1,0,0,N/A
3104720,"December 29, 2024",Arizona,Wittmann,"211th Ave and Morning Vista Dr",1,0,0,0,0,N/A
3104566,"December 29, 2024",Texas,Denton,"200 block of Normal St",1,0,0,0,0,N/A
3104547,"December 29, 2024",Texas,Beaumont,"4300 block of Fonville Ave",1,0,0,0,1,N/A
3104181,"December 29, 2024",Virginia,Hampton,"555 Settlers Landing Rd",1,0,0,0,1,N/A
3105363,"December 29, 2024",Tennessee,Clarksville,"2924 Dunlop Ln",1,0,0,0,1,N/A
3106331,"December 29, 2024","New Mexico","Las Cruces","4000 Block of Gila Trail",1,0,1,0,0,N/A
3104716,"December 29, 2024",Minnesota,"Deer Creek",N/A,1,0,0,0,0,N/A
3105279,"December 29, 2024",Louisiana,"Lake Charles","5020 Pecan Acres St",1,1,0,0,1,N/A
3105318,"December 28, 2024","North Carolina",Wilmington,"1000 block of S 6th St",1,0,0,0,0,N/A
3108700,"December 28, 2024",California,Bakersfield,"2925 Hosking Ave",1,0,1,0,0,N/A
3104256,"December 28, 2024","South Carolina","Travelers Rest","305 Mountain Lake Ln",0,0,1,0,0,N/A
3103914,"December 28, 2024",Kentucky,"Oak Grove","8190 Pembroke Oak Grove Rd",1,0,0,0,1,N/A
3104066,"December 28, 2024",Texas,"Fort Worth","2900 block of Buckskin Run St",1,0,1,0,0,N/A
3104526,"December 28, 2024",Louisiana,Lacombe,"Lake Rd",1,0,0,0,1,N/A
3104394,"December 28, 2024",Michigan,Saginaw,"1900 block of Fairfax St",1,2,0,0,1,N/A
3107672,"December 28, 2024",Tennessee,"Kingsport (Colonial Heights)","3100 block of Tiffany Ct",2,0,0,0,0,N/A
3103855,"December 28, 2024","West Virginia",Grantsville,"5957 Pine Creek Rd",2,2,0,0,1,N/A
3103918,"December 28, 2024",Kentucky,Louisville,"1200 block of Lipps Ln",1,0,0,0,0,N/A
3103887,"December 28, 2024",Georgia,Decatur,"1881 Candler Rd",1,0,0,0,0,N/A
3103939,"December 28, 2024",Arkansas,"North Little Rock","I-40 and Jacksonville Hwy",1,2,0,0,1,N/A
3104185,"December 28, 2024",Tennessee,Medina,"244 Heritage Square",1,1,0,0,0,N/A
3104697,"December 28, 2024",Nevada,"Las Vegas","6600 block of Tampa Ct",1,0,0,0,1,N/A
3103765,"December 28, 2024","North Carolina","Winston Salem (Winston-salem)","1000 block of E 15th St",1,1,0,0,0,N/A
3104385,"December 28, 2024",California,"Signal Hill","1005 E Burnett St",1,6,0,0,0,N/A
3104183,"December 28, 2024",Florida,"Fort Lauderdale (Lauderhill)","4200 NW 19th St",1,0,0,0,0,N/A
3104845,"December 28, 2024",Florida,Freeport,"Piney Point Rd",1,0,0,0,1,N/A
3104250,"December 28, 2024",Missouri,"Kansas City","7575 Monroe Ave",1,0,0,0,0,N/A
3103728,"December 28, 2024","New York","New York (Manhattan)","332 W 49th St",1,0,0,0,0,N/A
3103689,"December 28, 2024",California,"Los Angeles","560 S Los Angeles St",2,1,0,0,0,N/A
